country,year,gdp_billions
Honduras,2020,23.35
Guatemala,2020,77.718
Nicaragua,2020,12.73
Uruguay,2020,53.557
"Venezuela, Repãºblica Bolivariana De",2020,42.838
Peru,2020,209.984
Paraguay,2020,35.432
Dominica,2020,0.504
"Bahamas, The",2020,10.363
"Aruba, Kingdom Of The Netherlands",2020,2.456
Antigua And Barbuda,2020,1.412
Jamaica,2020,15.079
Belize,2020,2.047
Barbados,2020,5.168
Grenada,2020,1.043
St. Kitts And Nevis,2020,0.884
Guyana,2020,5.471
Puerto Rico,2020,103.131
St. Vincent And The Grenadines,2020,0.864
St. Lucia,2020,1.511
Suriname,2020,2.912
Trinidad And Tobago,2020,20.889
Iraq,2020,182.576
"Iran, Islamic Republic Of",2020,209.51
"Bahrain, Kingdom Of",2020,35.838
Cyprus,2020,25.535
Oman,2020,75.909
Kuwait,2020,111.048
Jordan,2020,43.762
Israel,2020,410.909
Qatar,2020,144.411
Lebanon,2020,24.976
United Arab Emirates,2020,357.162
"Egypt, Arab Republic Of",2020,382.525
Saudi Arabia,2020,767.303
"Afghanistan, Islamic Republic Of",2020,20.136
"Yemen, Republic Of",2020,20.22
West Bank And Gaza,2020,15.532
Bangladesh,2020,373.902
Bhutan,2020,2.586
Cambodia,2020,34.898
Myanmar,2020,76.987
Brunei Darussalam,2020,12.006
Indonesia,2020,1059.055
Taiwan Province Of China,2020,676.861
"Hong Kong Special Administrative Region, People'S Republic Of China",2020,344.941
Sri Lanka,2020,84.304
Malaysia,2020,337.456
Lao People'S Democratic Republic,2020,18.511
"Macao Special Administrative Region, People'S Republic Of China",2020,25.344
"Korea, Republic Of",2020,1744.455
"Timor-Leste, Democratic Republic Of",2020,2.163
India,2020,2674.852
Singapore,2020,349.166
Philippines,2020,361.751
Maldives,2020,3.706
Nepal,2020,33.434
Pakistan,2020,300.41
"Palau, Republic Of",2020,0.259
Thailand,2020,500.462
Djibouti,2020,3.144
Vietnam,2020,346.31
Botswana,2020,14.93
Angola,2020,66.521
Algeria,2020,164.774
Central African Republic,2020,2.48
Cameroon,2020,40.863
Burundi,2020,3.089
Cabo Verde,2020,1.829
"Congo, Democratic Republic Of The",2020,51.912
"Congo, Republic Of",2020,11.485
Chad,2020,14.812
"Comoros, Union Of The",2020,1.218
Benin,2020,15.674
"Equatorial Guinea, Republic Of",2020,9.908
Guinea-Bissau,2020,1.523
"Ethiopia, The Federal Democratic Republic Of",2020,96.611
"Gambia, The",2020,1.809
Gabon,2020,15.364
Guinea,2020,14.089
Ghana,2020,70.008
Malawi,2020,11.847
Kenya,2020,100.922
Cã´Te D'Ivoire,2020,63.119
Liberia,2020,3.037
"Lesotho, Kingdom Of",2020,2.092
"Mauritania, Islamic Republic Of",2020,8.464
Mali,2020,17.491
"Madagascar, Republic Of",2020,13.051
Libya,2020,46.893
Morocco,2020,121.354
Mauritius,2020,11.408
Niger,2020,13.764
Nigeria,2020,598.725
"Mozambique, Republic Of",2020,14.235
Sierra Leone,2020,6.682
Senegal,2020,24.534
"Sã£O Tomã© And Prã­Ncipe, Democratic Republic Of",2020,0.476
Rwanda,2020,10.174
Zimbabwe,2020,39.962
Sudan,2020,35.237
"South Sudan, Republic Of",2020,5.423
Somalia,2020,8.628
Seychelles,2020,1.384
Namibia,2020,10.583
Tunisia,2020,42.494
Togo,2020,7.4
"Tanzania, United Republic Of",2020,63.373
"Eswatini, Kingdom Of",2020,4.122
Solomon Islands,2020,1.536
Kiribati,2020,0.222
Burkina Faso,2020,17.837
Uganda,2020,37.888
Zambia,2020,18.138
Tonga,2020,0.503
Vanuatu,2020,1.008
Samoa,2020,0.869
"Nauru, Republic Of",2020,0.125
"Fiji, Republic Of",2020,4.228
Papua New Guinea,2020,23.848
"Belarus, Republic Of",2020,61.312
"Marshall Islands, Republic Of The",2020,0.242
"Micronesia, Federated States Of",2020,0.373
Tuvalu,2020,0.053
"Armenia, Republic Of",2020,12.642
"Azerbaijan, Republic Of",2020,42.693
Albania,2020,15.271
"Kazakhstan, Republic Of",2020,171.082
Georgia,2020,16.013
Russian Federation,2020,1488.118
Bulgaria,2020,70.658
Kyrgyz Republic,2020,8.283
"Moldova, Republic Of",2020,11.53
"Tajikistan, Republic Of",2020,8.134
"China, People'S Republic Of",2020,15103.357
"Uzbekistan, Republic Of",2020,66.443
Czech Republic,2020,251.11
Turkmenistan,2020,45.455
Ukraine,2020,156.566
"Serbia, Republic Of",2020,55.874
"Latvia, Republic Of",2020,33.353
Slovak Republic,2020,107.646
"Estonia, Republic Of",2020,31.795
Mongolia,2020,13.313
Montenegro,2020,4.73
Hungary,2020,158.468
"Slovenia, Republic Of",2020,53.342
Bosnia And Herzegovina,2020,20.264
"Lithuania, Republic Of",2020,57.352
"Croatia, Republic Of",2020,57.919
"Poland, Republic Of",2020,605.93
"North Macedonia, Republic Of",2020,12.385
"Kosovo, Republic Of",2020,7.728
Romania,2020,252.372
United Kingdom,2021,3144.079
United States,2021,23725.65
Germany,2021,4358.147
Austria,2021,480.786
Belgium,2021,598.92
Italy,2021,2180.657
Denmark,2021,406.11
France,2021,2968.405
Netherlands,2021,1055.173
Luxembourg,2021,86.444
"San Marino, Republic Of",2021,1.857
Switzerland,2021,814.696
Sweden,2021,631.693
Norway,2021,503.368
Finland,2021,294.419
"Liechtenstein, Principality Of",2021,7.913
Canada,2021,2022.382
Japan,2021,5039.148
"Andorra, Principality Of",2021,3.325
Spain,2021,1462.216
Malta,2021,19.753
Greece,2021,218.449
Iceland,2021,26.235
Ireland,2021,530.747
Portugal,2021,256.226
Argentina,2021,486.04
New Zealand,2021,249.785
Australia,2021,1655.838
"Tã¼Rkiye, Republic Of",2021,827.673
South Africa,2021,419.878
Colombia,2021,318.525
Bolivia,2021,40.701
Brazil,2021,1670.65
Costa Rica,2021,64.954
Chile,2021,315.411
Ecuador,2021,107.179
Dominican Republic,2021,95.067
El Salvador,2021,29.043
Mexico,2021,1316.569
Panama,2021,67.396
Haiti,2021,21.017
Honduras,2021,28.146
Guatemala,2021,86.443
Nicaragua,2021,14.208
Uruguay,2021,60.742
"Venezuela, Repãºblica Bolivariana De",2021,56.615
Peru,2021,229.832
Paraguay,2021,39.951
Dominica,2021,0.555
"Bahamas, The",2021,12.037
"Aruba, Kingdom Of The Netherlands",2021,2.855
Antigua And Barbuda,2021,1.602
Jamaica,2021,15.982
Belize,2021,2.429
Barbados,2021,5.275
Grenada,2021,1.122
St. Kitts And Nevis,2021,0.859
Guyana,2021,8.041
Puerto Rico,2021,106.427
St. Vincent And The Grenadines,2021,0.888
St. Lucia,2021,1.869
Suriname,2021,3.084
Trinidad And Tobago,2021,24.223
Iraq,2021,210.753
"Iran, Islamic Republic Of",2021,307.337
