country_imf,country_display,date,year,month,log_exports,log_imports,exchange_rate,trade_balance,exports_mom_pct,imports_mom_pct,anomaly,anomaly_score,is_anomaly
Lithuania,Lithuania,2022-03-01,2022,3,19.20182757924458,18.980103090322032,0.9075269496046448,43431398.0,58.49581199143428,-40.74016589067892,1,0.14365020486761576,False
Lithuania,Lithuania,2022-04-01,2022,4,19.318168845087076,19.639768118492913,0.9243223257895884,-93066532.0,12.337917823143329,93.4144347349473,1,0.1473997097829281,False
Lithuania,Lithuania,2022-05-01,2022,5,19.40764631867292,19.291449545557725,0.945313607789384,29433388.0,9.360269846909762,-29.412603281955885,1,0.1568095704184922,False
Lithuania,Lithuania,2022-06-01,2022,6,19.143384464615373,18.891475922340405,0.9464482378854788,45872836.0,-23.222753186953405,-32.9662274225059,1,0.1550674726293657,False
Lithuania,Lithuania,2022-07-01,2022,7,19.117809502500226,18.59330910649737,0.982423967402214,81955467.0,-2.52506931654064,-25.78224791584879,1,0.15814878580714603,False
Lithuania,Lithuania,2022-08-01,2022,8,19.57647720168431,19.050830684324126,0.9873193849429204,129866027.0,58.19649300917498,58.01528469186954,1,0.13474316273094283,False
Lithuania,Lithuania,2022-09-01,2022,9,19.365801822517472,19.074712972166157,1.00971622384488,64984459.0,-18.996302151339616,2.4169753691708262,1,0.161128679589153,False
Lithuania,Lithuania,2022-10-01,2022,10,19.30442756076574,19.193868159875098,1.017742646809342,25328854.0,-5.952880872591926,12.654473127736644,1,0.16232034146344526,False
Lithuania,Lithuania,2022-11-01,2022,11,19.27326203384116,19.270750537551926,0.9802698415527212,588381.0,-3.0684888080159567,7.991504717419384,1,0.16204436085857354,False
Lithuania,Lithuania,2022-12-01,2022,12,18.91177580198568,19.24202338006186,0.9443932273513842,-63944566.0,-30.335981384101707,-2.831845578718617,1,0.15972404013380959,False
Lithuania,Lithuania,2023-01-01,2023,1,19.473464941677456,19.086054072149487,0.9285913269570062,92040188.0,75.36321342255268,-14.441455096355838,1,0.1399792770301923,False
Lithuania,Lithuania,2023-02-01,2023,2,19.280094287850638,18.494111254537955,0.9332624053905236,128558146.0,-17.58235672448871,-44.67486288853244,1,0.15273628349312973,False
Lithuania,Lithuania,2023-03-01,2023,3,19.322908510232544,19.103915548838835,0.9340708431816472,48481546.0,4.374397275405384,84.00712589166332,1,0.15201047484195518,False
Lithuania,Lithuania,2023-04-01,2023,4,19.581848009709596,19.025676501553523,0.911766344678089,136241451.0,29.555542187543992,-7.525665764587419,1,0.15041547029251695,False
Lithuania,Lithuania,2023-05-01,2023,5,19.657037494873713,19.17155309993479,0.9201748332183116,132419911.0,7.8088413536105294,15.705339783613702,1,0.1571215487397667,False
Lithuania,Lithuania,2023-06-01,2023,6,19.00039990947227,19.03866514393604,0.9225208301009852,-6964804.0,-48.14078734395325,-12.44368123712003,1,0.1525939509817169,False
Lithuania,Lithuania,2023-07-01,2023,7,19.405796188108837,18.75888921530251,0.9043109796271538,127568820.0,49.98967621453425,-24.40468913894542,1,0.14257089375511478,False
Lithuania,Lithuania,2023-08-01,2023,8,19.43956979252285,19.494146427074227,0.9166852660778952,-15538522.0,3.4350407979881314,108.60184797584922,1,0.14310616451735098,False
Lithuania,Lithuania,2023-09-01,2023,9,19.446825786047793,18.806899816238573,0.9359957211623758,131888165.0,0.7282382058585446,-49.70409955109224,1,0.14817096573040878,False
Lithuania,Lithuania,2023-10-01,2023,10,19.46286872690427,18.936054296195834,0.94674148793339,116115026.0,1.6172319836935012,13.786588900010454,1,0.15774977554903802,False
Lithuania,Lithuania,2023-11-01,2023,11,18.844698463117727,18.774217991466145,0.9252211068168,10399264.0,-46.1070366562265,-14.941957175446309,1,0.15433749817271997,False
Lithuania,Lithuania,2023-12-01,2023,12,19.31766113349821,18.648629459948967,0.9171743307040958,119616636.0,60.47414814268694,-11.802232268017999,1,0.14375897934638426,False
Lithuania,Lithuania,2024-01-01,2024,1,18.649584075837694,18.66099087083712,0.916999078832774,-1442296.0,-48.73064914300224,1.2438129015209798,1,0.15541595856719448,False
Lithuania,Lithuania,2024-02-01,2024,2,19.11358613528365,18.985306293478896,0.9263793126265746,24072740.0,59.042625052984945,38.308349718625934,1,0.14797525681194978,False
Lithuania,Lithuania,2024-03-01,2024,3,19.064344974672295,19.00757021760987,0.9197770460440388,10505699.0,-4.80484714386974,2.2513615006716003,1,0.16422914989616122,False
Lithuania,Lithuania,2024-04-01,2024,4,18.94457647058245,18.862764143388212,0.932160882090518,13264765.0,-11.287422165508143,-13.480994125081402,1,0.16253821122105605,False
Lithuania,Lithuania,2024-05-01,2024,5,18.899516988055247,19.171265506047998,0.9248788198546491,-50404354.0,-4.4059381882837645,36.138336697129404,1,0.16423526372005975,False
Lithuania,Lithuania,2024-06-01,2024,6,18.85670047545966,18.816052336823635,0.9294544102611768,6160343.0,-4.1912829391709705,-29.89760108719779,1,0.1613995399085872,False
Lithuania,Lithuania,2024-07-01,2024,7,18.61926642819762,19.08492585972151,0.9221615466653617,-72334668.0,-21.135109854628332,30.848963868049072,1,0.1620738229549833,False
Lithuania,Lithuania,2024-08-01,2024,8,18.773708675619112,18.562580417143238,0.9080852609506675,27090988.0,16.700687982416838,-40.68722339496512,1,0.15939541681400154,False
Lithuania,Lithuania,2024-09-01,2024,9,18.94644873246201,19.187376771098748,0.9004141905276427,-46088462.0,18.85571089626541,86.78655428004458,1,0.15367252596783504,False
Lithuania,Lithuania,2024-10-01,2024,10,19.075086898690664,18.873408043124183,0.9170653907495976,35140434.0,13.727854473524182,-26.945812792549482,1,0.15985434337954618,False
Lithuania,Lithuania,2024-11-01,2024,11,18.958366672093177,18.68346815734126,0.9407211299404532,41149028.0,-11.01658903142917,-17.299115366155206,1,0.16158424159636725,False
Lithuania,Lithuania,2024-12-01,2024,12,19.000178287705886,19.20195070033606,0.9543122986997497,-39910315.0,4.26980324670827,67.94771858864041,1,0.15259244331593963,False
Luxembourg,Luxembourg,2017-02-01,2017,2,18.264204520476742,17.314447529658892,0.9396156032567076,52434917.0,5.734270659268548,8.643609928710916,1,0.16520020720350576,False
Luxembourg,Luxembourg,2017-03-01,2017,3,18.099807240043642,17.49972595224133,0.935918094959056,32737630.0,-15.15951015202166,20.355349610690876,1,0.16458695714588178,False
Luxembourg,Luxembourg,2017-04-01,2017,4,18.147574368046172,17.62651102509068,0.9326038298930324,30905550.0,4.892636197836908,13.517301545483985,1,0.166047233416663,False
Luxembourg,Luxembourg,2017-05-01,2017,5,17.94232161655145,17.445623759298883,0.9043635541487678,24262871.0,-18.555856333479813,-16.54705702533378,1,0.165037116924045,False
Luxembourg,Luxembourg,2017-06-01,2017,6,18.884060408101046,17.549763226069214,0.8905152035231659,117086935.0,156.44365897904154,10.975522100925872,1,0.12507331197784688,False
Luxembourg,Luxembourg,2017-07-01,2017,7,18.293619369830346,17.736808676238198,0.8687234729082272,37602049.0,-44.59171437135648,20.568208717297853,1,0.1641006131044443,False
Luxembourg,Luxembourg,2017-08-01,2017,8,17.873698666058992,17.483674647864394,0.8469739095210759,18689454.0,-34.29010806779097,-22.363618436143582,1,0.16661204219125475,False
Luxembourg,Luxembourg,2017-09-01,2017,9,18.479442502303826,17.530277715141448,0.8393084098702971,65003227.0,83.26148817745735,4.770605893204238,1,0.1489112129450158,False
Luxembourg,Luxembourg,2017-10-01,2017,10,18.546254808348944,17.61891623897454,0.8506393327894134,68526232.0,6.9094797362817095,9.268560738358067,1,0.16331652494148818,False
Luxembourg,Luxembourg,2017-11-01,2017,11,18.575457065168084,17.669377192935844,0.8519338899301414,69564561.0,2.963282393769351,5.175579680963094,1,0.1632642783900321,False
Luxembourg,Luxembourg,2017-12-01,2017,12,17.912982408452326,17.57401959082407,0.844864999466386,17303492.0,-48.442611800888955,-9.095220300345186,1,0.16302386924459167,False
Luxembourg,Luxembourg,2018-01-01,2018,1,19.035325858607205,17.77696074367162,0.8197057256444936,132366576.0,207.20449930741927,22.500038358903062,1,0.11302331880896721,False
Luxembourg,Luxembourg,2018-02-01,2018,2,18.41292846251765,17.519210789758915,0.8098608659032378,58630523.0,-46.334368611699894,-22.72115636487858,1,0.1580684219954579,False
Luxembourg,Luxembourg,2018-03-01,2018,3,17.915018433976588,17.67926251845728,0.8106230216938474,12666826.0,-39.22003868917015,17.357158102723467,1,0.16502095526929084,False
Luxembourg,Luxembourg,2018-04-01,2018,4,17.948006190963344,17.519337071139788,0.8145776822006631,21730917.0,3.353788610191044,-14.779268216226281,1,0.1655433412104263,False
Luxembourg,Luxembourg,2018-05-01,2018,5,18.27262560186348,17.68340287199999,0.8465803924285124,38396911.0,38.35040053798542,17.829184955007072,1,0.1611214422412432,False
Luxembourg,Luxembourg,2018-06-01,2018,6,18.359452492488206,17.41689088888701,0.8562900621421721,57412065.0,9.07078526718188,-23.395318084462502,1,0.16181269948439725,False
Luxembourg,Luxembourg,2018-07-01,2018,7,18.093254554195244,17.779776863381716,0.8557447702325492,19396046.0,-23.371256762284666,43.74719533683871,1,0.16588060514353137,False
Luxembourg,Luxembourg,2018-08-01,2018,8,18.341454002454533,17.65317115887353,0.8658790931610708,45966283.0,28.171554654502607,-11.89189918712039,1,0.1612768220630652,False
Luxembourg,Luxembourg,2018-09-01,2018,9,18.43879257010054,17.629000664201968,0.8577285632188838,56519390.0,10.223349215974075,-2.3880728079269775,1,0.16346146826316155,False
Luxembourg,Luxembourg,2018-10-01,2018,10,18.10449647565385,17.711336089713452,0.8707734361098287,23695862.0,-28.415820872601017,8.581996236318146,1,0.166149756484335,False
Luxembourg,Luxembourg,2018-11-01,2018,11,18.20254704733309,17.60903813904746,0.8797501509571,35989000.0,10.301856661241926,-9.72394684849368,1,0.1654403795267853,False
Luxembourg,Luxembourg,2018-12-01,2018,12,18.167153111197393,17.70227686123344,0.8784096162736778,28852851.0,-3.4774896127005572,9.772375720662296,1,0.16689049476284484,False
Luxembourg,Luxembourg,2019-01-01,2019,1,18.17861813812655,17.63682590173342,0.8759321709978928,32836470.0,1.1531002394163048,-6.33550221280842,1,0.16578654012851868,False
