country_display,date,lstm_anomaly,recon_error,is_anomaly,anomaly_score,both_flagged,recon_z
Belgium,2019-06-01,False,0.01760368821561,False,0.149149277979615,False,0.5393447318402832
Belgium,2019-07-01,False,0.0166935424066793,False,0.1771354821444714,False,0.3927156712490876
Belgium,2019-08-01,False,0.0239972826506568,True,-0.0341967069738784,False,1.5693849040995267
Belgium,2019-09-01,False,0.0243317175065721,False,0.106492085074782,False,1.6232640389267528
Belgium,2019-10-01,False,0.0248414573687628,False,0.0900822176616225,False,1.7053856906505795
Belgium,2019-11-01,False,0.0242168483636624,False,0.1670421967426182,False,1.6047580431286144
Belgium,2019-12-01,False,0.023096632845816,False,0.1296973280539869,False,1.4242856974563571
Belgium,2020-01-01,False,0.0249311565628132,False,0.155086550965197,False,1.719836681283443
Belgium,2020-02-01,False,0.0182739358109859,False,0.1466339622983514,False,0.6473249854536456
Belgium,2020-03-01,False,0.0170621892915887,False,0.1641677307655956,False,0.4521065357608326
Belgium,2020-04-01,False,0.0178809973198052,True,-0.0183364213809696,False,0.5840206211786075
Belgium,2020-05-01,False,0.0163875131074985,False,0.054298734626335,False,0.34341281426512554
Belgium,2020-06-01,False,0.0155045848445721,False,0.0295941215221282,False,0.20116863702234336
Belgium,2020-07-01,False,0.0197200273314262,False,0.1103127218154157,False,0.8802975917002995
Belgium,2020-08-01,False,0.0145590880496041,False,0.1597380353456498,False,0.048844355047102224
Belgium,2020-09-01,False,0.0151914945486706,False,0.0937640462061595,False,0.1507282180061945
Belgium,2020-10-01,False,0.0135465057369587,False,0.0718882781902211,False,-0.11428774073092737
Belgium,2020-11-01,False,0.0130429391281726,False,0.1497399820869154,False,-0.19541485032905764
Belgium,2020-12-01,False,0.0141728386304033,False,0.0309610509358879,False,-0.013382366139305277
Belgium,2021-01-01,False,0.0139840001465609,False,0.1121860485255357,False,-0.043805194237374445
Belgium,2021-02-01,False,0.0105064451776295,False,0.1610715729828591,False,-0.6040567640904861
Belgium,2021-03-01,False,0.008450262188962,False,0.1629251638179316,False,-0.9353181697614409
Belgium,2021-04-01,False,0.0083893548314546,False,0.1679401156444419,False,-0.9451306509339849
Belgium,2021-05-01,False,0.0116293001986408,False,0.1014681827797747,False,-0.4231591812027203
Belgium,2021-06-01,False,0.0109707207319411,False,0.1487109705420559,False,-0.5292596406887458
Belgium,2021-07-01,False,0.0111157998096648,False,0.152796830207746,False,-0.5058866726771083
Belgium,2021-08-01,False,0.0102960705739117,False,0.129099906033472,False,-0.6379491692553542
Belgium,2021-09-01,False,0.0107036318475854,False,0.0791647976916253,False,-0.5722890012847562
Belgium,2021-10-01,False,0.0124551798250898,False,0.1396540713551918,False,-0.2901058257959661
Belgium,2021-11-01,False,0.0132987063816914,False,0.1700309730548012,False,-0.1542094613183532
Belgium,2021-12-01,False,0.0106488382866322,False,0.1631529260518109,False,-0.5811165191287964
Belgium,2022-01-01,False,0.0106521596217152,False,0.1689117394059789,False,-0.5805814353671065
Belgium,2022-02-01,False,0.0106836453457196,False,0.1785100568387944,False,-0.5755089271079925
Belgium,2022-03-01,False,0.0129099492587912,True,-0.032448582121801,False,-0.21684018616447764
Belgium,2022-04-01,False,0.0137131738391098,False,0.1304025489461432,False,-0.08743667246347576
Belgium,2022-05-01,False,0.0119007878964949,False,0.1612627872215414,False,-0.37942114966117857
Belgium,2022-06-01,False,0.0113100371523862,False,0.1397846133547882,False,-0.4745940613004431
Belgium,2022-07-01,False,0.0096798497330344,False,0.1637075141341791,False,-0.7372254413954317
Belgium,2022-08-01,False,0.0093327805702265,False,0.1705277839695606,False,-0.7931400265128256
Belgium,2022-09-01,False,0.0069656981093727,False,0.1486466119097925,False,-1.1744888984970452
Belgium,2022-10-01,False,0.0100683332292342,True,-0.0958387352216521,False,-0.6746387991849008
Belgium,2022-11-01,False,0.0102130126937066,False,0.024104709205262,False,-0.6513302108749144
Belgium,2022-12-01,False,0.0116368988009482,False,0.1059926476520152,False,-0.4219350082106488
Belgium,2023-01-01,False,0.0206266292046076,False,0.0338646577059833,False,1.0263557064445585
Belgium,2023-02-01,True,0.0276213945276297,False,0.0532140652445257,False,2.1532475278501697
Belgium,2023-03-01,True,0.0272346339576836,True,-0.0746660680150713,True,2.0909384577116836
Belgium,2023-04-01,True,0.0282510547433259,True,-0.02498474521839,True,2.2546889507664103
Belgium,2023-05-01,False,0.0250643566981773,False,0.0883009288239947,False,1.7412958920246369
Belgium,2023-06-01,False,0.0226068795675415,False,0.1203868722776289,False,1.3453839847744984
Belgium,2023-07-01,False,0.0244136116135344,False,0.1585067083450905,False,1.6364575908324026
Belgium,2023-08-01,True,0.0305947072715729,False,0.1527317578246024,False,2.6322631429420325
Belgium,2023-09-01,True,0.0309460378261956,False,0.1766989135723029,False,2.688864259681596
Belgium,2023-10-01,False,0.0221845390277358,False,0.1295938674473654,False,1.2773428028082323
Belgium,2023-11-01,False,0.011174546328992,False,0.1088818130615152,False,-0.4964223133871718
