country_imf,date,year,actual,predicted,residual,residual_z,xgb_anomaly
Germany,2020-04-01,2020,22.114318184624654,22.408171903886892,-0.2938537192622377,-3.8204678692142577,True
Germany,2020-05-01,2020,22.025417372029363,22.273703605033926,-0.24828623300456343,-3.2770609443100147,True
Germany,2020-06-01,2020,22.098693696411804,22.168199161411813,-0.06950546500000954,-1.1450428026024118,False
Germany,2020-07-01,2020,22.3049102883149,22.045250309243126,0.25965997907177396,2.7803609542849403,True
Germany,2020-08-01,2020,22.303432478493864,22.250383872673652,0.0530486058202122,0.31645389665203894,False
Germany,2020-09-01,2020,22.43302653451565,22.31276264661316,0.12026388790249243,1.1180177471651167,False
Germany,2020-10-01,2020,22.39976613414314,22.376907537396885,0.022858596746253568,-0.04357166852708291,False
Germany,2020-11-01,2020,22.316765226065232,22.3711214573699,-0.05435623130466638,-0.9643833198630992,False
Germany,2020-12-01,2020,22.318005278777648,22.3307391740748,-0.012733895297152742,-0.4680235801733786,False
Germany,2021-01-01,2021,22.240061737129196,22.239455218604885,0.0006065185243109283,-0.3089348560186477,False
Germany,2021-02-01,2021,22.33461401925266,22.32912394372306,0.005490075529596794,-0.25069686852399997,False
Germany,2021-03-01,2021,22.466124924206277,22.406946647961664,0.05917827624461225,0.38955218733158536,False
Germany,2021-04-01,2021,22.440859752798875,22.368483193688245,0.07237655911063001,0.5469459541433587,False
Germany,2021-05-01,2021,22.40492464858869,22.403733864478394,0.0011907841102960504,-0.3019673010472764,False
Germany,2021-06-01,2021,22.496672169658773,22.448999888491386,0.04767228116738664,0.2523394965212488,False
Germany,2021-07-01,2021,22.367944820792243,22.370252159768278,-0.002307338976034856,-0.3436835436008027,False
Germany,2021-08-01,2021,22.449407011891637,22.45010219629298,-0.0006951844013443065,-0.3244580819427031,False
Germany,2021-09-01,2021,22.423774572889787,22.408935044099064,0.014839528790723477,-0.13920163226200077,False
Germany,2021-10-01,2021,22.536318763298073,22.415114571116444,0.12120419218162937,1.1292311780291913,False
Germany,2021-11-01,2021,22.39296055880932,22.441292744765583,-0.04833218595626221,-0.8925446421763591,False
Germany,2021-12-01,2021,22.433578407266264,22.402240355050765,0.031338052215499346,0.05754856433696468,False
Germany,2022-01-01,2022,22.401809767852768,22.35817220684358,0.04363756100918792,0.20422416135402358,False
Germany,2022-02-01,2022,22.401267238829522,22.381696082158985,0.019571156670536993,-0.08277544843827461,False
Germany,2022-03-01,2022,22.607694980790114,22.51092211063298,0.09677287015713532,0.8378798075014897,False
Germany,2022-04-01,2022,22.564763206814064,22.48703587418677,0.07772733262729403,0.6107556487599838,False
Germany,2022-05-01,2022,22.507691460651195,22.507272728523013,0.00041873212818188676,-0.311174269171313,False
Germany,2022-06-01,2022,22.524376956038747,22.483621132383995,0.04075582365475228,0.16985851683941466,False
Germany,2022-07-01,2022,22.54101545952145,22.464292842515814,0.0767226170056361,0.598774091926213,False
Germany,2022-08-01,2022,22.583940193287383,22.49238741591127,0.091552777376112,0.7756285226750641,False
Germany,2022-09-01,2022,22.513420207358966,22.516217253842978,-0.0027970464840123554,-0.3495234630887415,False
Germany,2022-10-01,2022,22.60878178870695,22.548025630967633,0.06075615773931631,0.4083689314910471,False
Germany,2022-11-01,2022,22.533713997260943,22.54677425427695,-0.013060257016007881,-0.47191554860557766,False
Germany,2022-12-01,2022,22.511462209879458,22.50440859939736,0.007053610482095962,-0.23205121149316515,False
Germany,2023-01-01,2023,22.595514873376025,22.468978715628314,0.12653615774771154,1.192816581787821,False
Germany,2023-02-01,2023,22.520942487741394,22.525225474334807,-0.004282986593413085,-0.3672437766666127,False
Germany,2023-03-01,2023,22.739603043884863,22.566567790320644,0.173035253564219,1.747333250220909,False
Germany,2023-04-01,2023,22.508717294436227,22.49987821849957,0.008839075936656116,-0.21075896186809645,False
Germany,2023-05-01,2023,22.5375244949687,22.561487368132884,-0.023962873164183662,-0.6019327516829968,False
Germany,2023-06-01,2023,22.56713366681359,22.526431540506202,0.04070212630738723,0.16921815870681656,False
Germany,2023-07-01,2023,22.52840885592321,22.475633283887,0.05277557203621086,0.3131978809894644,False
Germany,2023-08-01,2023,22.639967211863194,22.527009142135622,0.11295806972757205,1.0308935163946646,False
Germany,2023-09-01,2023,22.632079072571244,22.573038722551694,0.05904035001955066,0.38790737275040477,False
Germany,2023-10-01,2023,22.51336489645688,22.58552977283131,-0.07216487637442981,-1.176757138321023,False
Germany,2023-11-01,2023,22.60139421364419,22.56165437435967,0.03973983928452185,0.1577425765556842,False
Germany,2023-12-01,2023,22.52410765565529,22.537137695531804,-0.013030039876515076,-0.4715551995014306,False
Germany,2024-01-01,2024,22.57151033891832,22.498543293416223,0.07296704550209654,0.5539876942202668,False
Germany,2024-02-01,2024,22.535581442158716,22.51054485644661,0.025036585712104653,-0.017598449822064162,False
Germany,2024-03-01,2024,22.634000165400977,22.574966430553445,0.059033734847531605,0.387828484697106,False
Germany,2024-04-01,2024,22.54873900128954,22.544405894972236,0.004333106317304214,-0.2644940983800777,False
Germany,2024-05-01,2024,22.55544821114908,22.540298325840382,0.01514988530869843,-0.1355005309964388,False
Germany,2024-06-01,2024,22.586920867489297,22.542011252722276,0.04490961476702182,0.2193938114187337,False
Germany,2024-07-01,2024,22.50379534048776,22.47973702282395,0.024058317663808282,-0.02926461083982882,False
Germany,2024-08-01,2024,22.635111401529528,22.555132150635654,0.07997925089387437,0.6376104981466343,False
Germany,2024-09-01,2024,22.60375040746886,22.542859453696757,0.06089095377210185,0.4099764175228873,False
Germany,2024-10-01,2024,22.634929246824658,22.587445744150827,0.04748350267383117,0.2500882522877849,False
